customer_id,name,city,region,industry,signup_date
1,Onveer Shukla,Durgapur,North,Healthcare,2025-05-03
2,Patrick Goyal,Dibrugarh,South,Education,2023-04-17
3,Diya Menon,Hyderabad,West,Technology,2023-06-08
4,Gautami Sankaran,Medininagar,North,Healthcare,2026-01-18
5,Agastya Warrior,Bhusawal,West,Retail,2025-01-31
6,Sara Lalla,Pali,West,Finance,2025-04-25
7,Frederick Narayanan,Pudukkottai,East,Retail,2025-10-14
8,Veda Murthy,Indore,South,Finance,2025-06-06
9,Omya Joshi,Bardhaman,South,Retail,2025-05-27
10,Rayaan Kannan,Udaipur,West,Retail,2025-08-26
11,Indira Karpe,Bettiah,East,Finance,2024-05-25
12,Oviya Wason,Yamunanagar,West,Education,2026-01-07
13,Imaran Bhatti,Mathura,East,Finance,2024-03-26
14,Logan Ram,Aurangabad,South,Manufacturing,2023-12-22
15,Nisha Deshmukh,Kota,East,Education,2025-12-07
16,Sanya Mall,Warangal,South,Healthcare,2024-05-16
17,Baljiwan Kant,Panihati,South,Education,2023-08-01
18,Farhan Viswanathan,Etawah,South,Manufacturing,2024-05-02
19,Bhavya Chaudhary,Bokaro,North,Retail,2024-05-28
20,Arin Setty,Phusro,East,Technology,2025-11-13
21,Adweta Sood,Erode,South,Manufacturing,2025-01-06
22,Vasudha Rege,Siwan,East,Manufacturing,2023-12-11
23,Urvashi Lad,Surat,North,Technology,2025-12-30
24,Hema Bose,Sasaram,East,Healthcare,2023-09-27
25,Jackson Ahuja,Solapur,North,Finance,2025-05-18
26,Radhika Mangal,Avadi,West,Technology,2025-04-18
27,Kavya Datta,Bhopal,East,Technology,2025-11-17
28,Yachana Gulati,Ambarnath,North,Manufacturing,2026-01-17
29,Upkaar Dar,Sirsa,East,Technology,2023-04-30
30,Leela Tata,Loni,North,Manufacturing,2024-12-10
31,Warinder Shah,Saharsa,North,Technology,2025-02-08
32,Karan Gulati,Bongaigaon,East,Healthcare,2025-06-13
33,Harshil Sathe,Shimoga,North,Manufacturing,2025-05-01
34,Nirja Parikh,Gopalpur,North,Finance,2025-11-03
35,Dhriti Shenoy,Kota,North,Healthcare,2025-11-01
36,Unni Bansal,Karaikudi,West,Education,2024-04-09
37,Jeremiah Kala,Kavali,South,Education,2023-06-19
38,Shaurya Seth,Jalna,South,Finance,2024-12-11
39,Ikshita Pradhan,Dhanbad,East,Manufacturing,2023-05-24
40,Rudra Barad,Vasai-Virar,East,Education,2026-01-30
41,Balveer Bhagat,Ambattur,North,Education,2024-06-04
42,Maanas Seth,Tirunelveli,North,Finance,2024-05-06
43,Bhavya Pradhan,Bhavnagar,North,Technology,2024-08-10
44,Rayaan Pradhan,Malda,West,Technology,2024-08-31
45,Chaitanya Bhatti,Berhampore,North,Manufacturing,2023-04-02
46,Ekansh Goel,Aurangabad,East,Finance,2024-08-02
47,Aachal Barad,Surat,East,Retail,2023-11-09
48,Udyati Bansal,Warangal,West,Education,2024-09-27
49,Joshua Kalla,Katihar,South,Finance,2023-04-06
50,Fariq Narain,Rajahmundry,North,Technology,2025-11-19
51,Zilmil Jaggi,Burhanpur,South,Retail,2023-05-26
52,Zaid Pandey,Phagwara,North,Technology,2023-11-19
53,Wakeeta Bhatt,Bhusawal,North,Manufacturing,2025-05-01
54,Pavani Nath,Jhansi,North,Healthcare,2026-03-05
55,Ekaraj Tripathi,Madurai,East,Manufacturing,2023-07-14
56,Gautami Raman,Chittoor,West,Healthcare,2025-12-26
57,Eta Nath,Narasaraopet,West,Education,2024-04-16
58,Hamsini Balasubramanian,Vasai-Virar,North,Retail,2023-09-20
59,Dhruv Pandya,Rajpur Sonarpur,West,Finance,2025-08-18
60,Anay Sethi,Vijayawada,East,Technology,2025-09-08
61,Maanas Walia,Eluru,East,Manufacturing,2023-10-14
62,Divya Bedi,Ghaziabad,East,Technology,2026-02-26
63,Upasna Contractor,Firozabad,South,Healthcare,2025-06-12
64,Yuvraj Bedi,Mahbubnagar,South,Finance,2023-12-27
65,Harinakshi Apte,Rourkela,South,Technology,2023-11-17
66,Ijaya Borra,Aizawl,North,Education,2023-07-29
67,Zayyan Seshadri,Sonipat,South,Education,2023-10-18
68,Gayathri Morar,Rewa,North,Retail,2026-01-30
69,Ranbir Yadav,Avadi,East,Technology,2024-05-05
70,Wakeeta Sachdeva,Mehsana,North,Retail,2025-11-27
71,Maanav Vaidya,Mathura,North,Technology,2025-11-05
72,Luke Hari,Belgaum,North,Technology,2025-01-15
73,Yahvi Gokhale,Bhusawal,South,Retail,2024-10-10
74,Gopal Khanna,Bidar,South,Healthcare,2025-05-07
75,Vedant Mody,Surat,West,Retail,2024-07-17
76,Dakshesh Sethi,Avadi,East,Retail,2024-07-22
77,Devansh Dar,Bihar Sharif,West,Retail,2024-07-12
78,Samuel Soman,Raebareli,East,Education,2023-08-07
79,Jalsa Kara,Kanpur,North,Finance,2026-03-25
80,Fiyaz Borde,Uluberia,East,Retail,2026-02-24
81,Vidhi Kala,Giridih,East,Education,2023-09-21
82,Kevin Bahl,Madurai,East,Technology,2024-06-11
83,Hemani Gera,Gwalior,South,Healthcare,2024-11-22
84,Vaishnavi Ramaswamy,Ahmednagar,North,Education,2023-09-06
85,Kavya Raman,Sonipat,North,Healthcare,2023-08-12
86,Vrinda Ramanathan,Amritsar,North,Retail,2024-06-10
87,Odika Mandal,Siliguri,West,Retail,2025-11-18
88,Qushi Parekh,Chittoor,South,Manufacturing,2024-05-20
89,Devika Chaudhari,Darbhanga,North,Retail,2024-07-15
90,Bakhshi Walla,Deoghar,South,Finance,2025-08-03
91,Xiti Dave,Anand,West,Retail,2024-08-10
92,Nathaniel Setty,Gulbarga,West,Technology,2023-08-23
93,Girik Srivastava,Nizamabad,East,Education,2023-06-07
94,Qabil Chana,Kolkata,North,Finance,2023-08-12
95,Gunbir Mukhopadhyay,Bhiwandi,North,Education,2023-09-11
96,Falak Kaul,Adoni,North,Finance,2025-04-17
97,Charvi Vora,Nizamabad,East,Finance,2024-03-19
98,Harish Dubey,Gopalpur,East,Healthcare,2025-08-21
99,Yatan Singhal,Mumbai,South,Manufacturing,2023-04-09
100,Rajeshri Bora,Berhampore,North,Manufacturing,2025-11-21
101,Madhav Ben,Eluru,East,Technology,2024-01-01
102,Saumya Keer,Patna,East,Education,2025-09-26
103,Luke Apte,Etawah,West,Finance,2023-12-14
104,Udyati Babu,Sambalpur,South,Finance,2023-06-25
105,Varsha Maharaj,Katihar,West,Retail,2023-06-03
106,Yachana Sandal,Amritsar,East,Healthcare,2023-11-12
107,Advika Swaminathan,Kulti,North,Manufacturing,2024-11-18
108,Gaurika Biswas,Bhopal,North,Technology,2023-06-17
109,Parth Shenoy,Lucknow,East,Healthcare,2026-01-10
110,Anvi Parikh,Sangli-Miraj & Kupwad,East,Healthcare,2024-06-11
111,Yadavi Uppal,Guntakal,North,Healthcare,2025-01-18
112,Nitesh Bawa,Nadiad,North,Healthcare,2023-11-02
113,Rayaan Chanda,Raebareli,East,Finance,2025-02-02
114,Wakeeta Sunder,Rajahmundry,South,Technology,2025-09-07
115,Kamya Din,Hazaribagh,North,Healthcare,2025-06-10
116,Abhimanyu Misra,Singrauli,West,Education,2023-10-05
117,Amara Chakrabarti,Amroha,South,Manufacturing,2024-02-12
118,Chavvi Sankar,Aizawl,East,Education,2025-01-11
119,Peter Pandey,Hyderabad,West,Education,2025-02-16
120,Vrinda Saini,Cuttack,North,Manufacturing,2026-02-02
121,Raksha Shankar,Saharanpur,North,Technology,2024-01-18
122,Aayush Chaudhary,Kishanganj,North,Finance,2023-10-08
123,Deepa Sur,Sirsa,West,Healthcare,2024-05-18
124,Gabriel Soman,Surendranagar Dudhrej,East,Manufacturing,2024-05-22
125,Eesha Shroff,Bhalswa Jahangir Pur,East,Retail,2026-03-17
126,Hemang Shah,Chittoor,West,Education,2024-03-11
127,Idika Sehgal,Solapur,North,Finance,2025-01-26
128,Janani Kaur,Karnal,West,Healthcare,2024-09-10
129,Chakrika Kar,Tezpur,East,Education,2024-03-22
130,Dakshesh Johal,Durgapur,South,Manufacturing,2025-02-12
131,Warda Sarin,Raiganj,West,Retail,2024-08-30
132,Bina Ganesh,Jammu,North,Education,2025-09-22
133,Chandresh Shere,Bharatpur,West,Finance,2024-10-14
134,Oscar Dhillon,Pallavaram,East,Retail,2023-11-18
135,Ekapad Ganesh,Gandhinagar,West,Healthcare,2024-07-30
136,Barkha Gill,Panipat,South,Healthcare,2026-03-04
137,Rachana Kara,Delhi,West,Healthcare,2025-07-19
138,Harish Hari,Jalna,East,Education,2023-09-14
139,Urvashi Pandya,Miryalaguda,West,Technology,2024-12-24
140,Zashil Gole,Hazaribagh,East,Technology,2024-11-27
141,Anvi Chander,Dhanbad,North,Retail,2023-11-20
142,Falan Gera,Ongole,East,Retail,2023-07-21
143,Yashawini Chawla,Ambala,North,Healthcare,2023-05-12
144,Eta Sura,Barasat,East,Healthcare,2024-06-22
145,Bishakha Shan,Kishanganj,South,Retail,2025-12-26
146,Upma Oza,Junagadh,West,Manufacturing,2025-05-30
147,Parth Bansal,Gandhinagar,North,Finance,2024-12-26
148,Anika Nadig,Udaipur,East,Technology,2024-06-17
149,Omaja Prashad,Kurnool,West,Finance,2024-05-25
150,Kamala Chokshi,Imphal,North,Finance,2024-02-19
151,Avi Prashad,Jamshedpur,West,Technology,2026-01-07
152,Ishwar Majumdar,Tirunelveli,East,Finance,2025-12-19
153,Yachana Mohan,Gwalior,South,Technology,2023-09-11
154,Priya Narain,Anantapur,South,Retail,2024-01-20
155,Gaurika Yadav,Burhanpur,North,Education,2024-01-06
156,Ishaan Nanda,Tiruchirappalli,South,Retail,2024-10-04
157,Deepa Karpe,Tenali,West,Retail,2024-04-18
158,Zehaan Dewan,Panchkula,West,Retail,2025-05-09
159,Yash Pandit,Hapur,East,Technology,2025-03-04
160,Akshay Gade,Singrauli,West,Healthcare,2023-10-26
161,Aahana Chakraborty,Rourkela,East,Manufacturing,2024-01-26
162,Rachit Parmar,Eluru,North,Retail,2023-03-27
163,Ekbal Boase,Panihati,West,Education,2024-03-22
164,Tara Ray,Jammu,East,Retail,2025-11-25
165,Brinda Naik,Imphal,South,Manufacturing,2024-07-05
166,Lohit Sachdev,Raipur,West,Finance,2025-04-04
167,Nitara Thakkar,Erode,South,Finance,2025-08-14
168,Peter Bera,Chandigarh,North,Education,2024-08-10
169,Devansh Bora,Ghaziabad,South,Manufacturing,2025-12-01
170,Warhi Wali,Orai,South,Healthcare,2024-12-24
171,Ayushman Parikh,Panchkula,West,Technology,2025-11-11
172,Lajita Das,Alappuzha,East,Technology,2025-04-26
173,Upasna Dora,Muzaffarpur,South,Education,2025-05-28
174,Mahika Taneja,Purnia,North,Technology,2023-05-20
175,Geetika Dhaliwal,Muzaffarpur,East,Education,2025-07-10
176,Gayathri Dora,Bhatpara,North,Retail,2025-10-21
177,Logan Sha,Akola,East,Technology,2025-12-15
178,Samarth Khanna,Thrissur,West,Technology,2024-06-13
179,Onkar Keer,Raipur,East,Technology,2024-06-07
180,Ishita Thakkar,Vellore,East,Technology,2023-04-07
181,Maanas Bobal,Motihari,West,Education,2024-08-31
182,Aahana Karpe,Naihati,West,Manufacturing,2023-11-15
183,Anusha Acharya,Jodhpur,North,Manufacturing,2025-07-29
184,Waida Chowdhury,Haridwar,West,Education,2025-10-02
185,Hritik Pradhan,Nandyal,West,Healthcare,2024-05-22
186,Ishani Pathak,Bijapur,South,Manufacturing,2025-04-19
187,Yatin Banerjee,Thrissur,South,Education,2023-12-07
188,Hema Dara,Bhilwara,North,Technology,2023-09-11
189,Megha Devi,Gudivada,West,Retail,2024-07-20
190,Omya Kade,Hajipur,East,Healthcare,2026-02-27
191,Balvan Tandon,Thanjavur,East,Technology,2023-07-21
192,Aarav Kannan,Morbi,South,Manufacturing,2025-05-06
193,Sanaya Bassi,Imphal,West,Education,2025-12-30
194,Umang Bhargava,Raurkela Industrial Township,West,Technology,2025-09-11
195,Mugdha Khare,Khora ,South,Technology,2025-06-16
196,Bachittar Choudhury,Sagar,West,Finance,2023-10-08
197,Ekani Bhalla,Alappuzha,West,Finance,2024-11-21
198,Ayush Chawla,Aurangabad,North,Healthcare,2025-12-31
